molecule_chembl_id,canonical_smiles,pAffinity,MW,logP,TPSA,HBD,HBA,RotB,AromR,QED,scaffold,peptide_like
CHEMBL3965351,C[C@@H]1NC(=O)C2(CCCC2)NCCOc2ccccc2/C=C\CNC(=O)[C@H](Cc2cccc(Cl)c2)NC1=O,7.0,539.0760000000001,2.9963999999999995,108.56,4,5,2,2,0.46994771908328764,O=C1CNC(=O)C2(CCCC2)NCCOc2ccccc2C=CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3900193,C[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)CN(C)C1=O,6.0,466.5820000000002,1.2918000000000012,99.77000000000001,3,5,2,2,0.6195622693820864,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)CN1,False
CHEMBL3942554,C[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@H](Cc2ccccc2)NC(=O)C2(CCCC2)NC1=O,7.0,506.64700000000033,2.2624,108.56,4,5,2,2,0.4998381756603932,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)C2(CCCC2)N1,False
CHEMBL2163444,C[C@H](N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,6.245651664288982,793.9299999999997,0.7920000000000067,284.23999999999995,11,8,19,5,0.04190284863283726,O=C(CCc1c[nH]c2ccccc12)NNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,True
CHEMBL4285075,C[C@H](NC(=O)N(C)C1CCN(C2CCc3cc(-c4cncnc4)ccc32)CC1)c1ccc(C#CC2CC2)c(Cl)c1Cl,7.066006836168757,588.5830000000003,7.066200000000007,61.36000000000001,1,4,5,3,0.3242805998255757,O=C(NCc1ccc(C#CC2CC2)cc1)NC1CCN(C2CCc3cc(-c4cncnc4)ccc32)CC1,False
CHEMBL4289530,C[C@H](NC(=O)N(C)C1CCN(C2CCc3cc(-c4ncccn4)ccc32)CC1)c1ccc(C#CC2CC2)c(Cl)c1Cl,6.09799710864927,588.5830000000003,7.066200000000007,61.36000000000001,1,4,5,3,0.3242805998255757,O=C(NCc1ccc(C#CC2CC2)cc1)NC1CCN(C2CCc3cc(-c4ncccn4)ccc32)CC1,False
CHEMBL4288441,C[C@H](NC(=O)N(C)C1CCN(C2CCc3ccccc32)CC1)c1ccc(C#CC2CC2)c(Cl)c1Cl,6.036684488613888,510.50900000000036,6.6092000000000075,35.580000000000005,1,2,4,2,0.4701968921768235,O=C(NCc1ccc(C#CC2CC2)cc1)NC1CCN(C2CCc3ccccc32)CC1,False
CHEMBL4517723,C[C@H](NC(=O)N(CC1CCCCC1)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,5.260427655549908,841.0309999999996,1.326500000000008,288.34,10,9,21,4,0.04272833704005247,O=C(CNC(=O)N(CC1CCCCC1)NC(=O)CCc1cnc[nH]1)NC(Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,True
CHEMBL2163474,C[C@H](NC(=O)N(CCc1ccccc1)NC(=O)C(N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,6.137272471682025,849.0099999999996,0.9889000000000074,288.34,10,9,22,5,0.03506491483972522,O=C(CNC(=O)N(CCc1ccccc1)NC(=O)CCc1cnc[nH]1)NC(Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,True
CHEMBL4518972,C[C@H](NC(=O)N(CCc1ccccc1)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,6.137272471682025,849.0099999999996,0.9889000000000074,288.34,10,9,22,5,0.03506491483972522,O=C(CNC(=O)N(CCc1ccccc1)NC(=O)CCc1cnc[nH]1)NC(Cc1c[nH]c2ccccc12)C(=O)NCCc1ccccc1,True
