Gene	Gene name	Cell type	nCPM
ENSG00000164406	LEAP2	gastric chief cells	3.3
ENSG00000164406	LEAP2	gastric progenitor cells	2.6
ENSG00000164406	LEAP2	goblet cells	8.1
ENSG00000164406	LEAP2	gonadotrophs	0.5
ENSG00000164406	LEAP2	granulosa cells	17.0
ENSG00000164406	LEAP2	hematopoietic stem cells	2.4
ENSG00000164406	LEAP2	hepatic stellate cells	12.9
ENSG00000164406	LEAP2	hepatocytes	1981.7
ENSG00000164406	LEAP2	hofbauer cells	2.1
ENSG00000164406	LEAP2	innate lymphoid cells	4.1
ENSG00000164406	LEAP2	kupffer cells	0.0
ENSG00000164406	LEAP2	lacrimal acinar cells	1.8
ENSG00000164406	LEAP2	lactotrophs	1.2
ENSG00000164406	LEAP2	late primary spermatocytes	2.5
ENSG00000164406	LEAP2	late spermatids	0.1
ENSG00000164406	LEAP2	leydig cells	1.1
ENSG00000164406	LEAP2	loop of henle epithelial cells	2.7
ENSG00000164406	LEAP2	lymphatic endothelial cells	2.8
ENSG00000164406	LEAP2	macrophages	3.4
ENSG00000164406	LEAP2	mast cells	8.2
ENSG00000164406	LEAP2	medullary thymic epithelial cells	2.4
ENSG00000164406	LEAP2	megakaryocyte progenitors	1.3
ENSG00000164406	LEAP2	megakaryocyte-erythroid progenitors	1.5
ENSG00000164406	LEAP2	megakaryocytes	0.0
ENSG00000164406	LEAP2	melanocytes	5.4
ENSG00000164406	LEAP2	mesothelial cells	4.4
ENSG00000164406	LEAP2	microglia	2.9
ENSG00000164406	LEAP2	migrating cytotrophoblasts	5.5
ENSG00000164406	LEAP2	monocyte progenitors	1.1
ENSG00000164406	LEAP2	monocytes	2.9
ENSG00000164406	LEAP2	mucous neck cells	3.1
ENSG00000164406	LEAP2	müller glia	5.8
ENSG00000164406	LEAP2	myonuclei	7.8
ENSG00000164406	LEAP2	myosatellite cells	2.9
ENSG00000164406	LEAP2	neuroendocrine cells	0.0
ENSG00000164406	LEAP2	neutrophil progenitors	2.0
ENSG00000164406	LEAP2	neutrophils	2.7
ENSG00000164406	LEAP2	nk-cells	3.9
ENSG00000164406	LEAP2	ocular epithelial cells	3.1
ENSG00000164406	LEAP2	oligodendrocyte progenitor cells	2.8
ENSG00000164406	LEAP2	oligodendrocytes	2.9
ENSG00000164406	LEAP2	oocytes	0.0
ENSG00000164406	LEAP2	other brain neurons	1.5
ENSG00000164406	LEAP2	ovarian stromal cells	4.8
ENSG00000164406	LEAP2	pancreatic acinar cells	3.0
ENSG00000164406	LEAP2	pancreatic duct cells	20.4
ENSG00000164406	LEAP2	pancreatic islet cells	4.3
